SAISON;PERIODE;labels ;indice;FID;COMMENT;B;T;E;X;7_ane;8_ane;9_ane;10_ane;13_ane;14_ane;15_ane;16_ane;1_M_2_PA;BTM;AcAcBE;Carene;Pinene;Limonene;Thujone;1_6ol_2_E;FormicAcid;aceticacid;NonanoicAc;DecanoicAc;Octanal;Decanal
Hiver;BF2;HBF21;1;0;B19;17,29455297;83,42087017;41,57622927;141,8791776;10,44243824;15,55701845;20,06425205;30,93764581;44,35842738;70,42899303;46,95130161;0;8,855940005;52,37331063;26,46738088;39,29908974;48,61023375;0;9,184840655;23,58194078;29,77827651;14,16028837;68,23006428;14,16454497;12,75970936;56,48059086
Hiver;BF2;HBF22;2;1;B21;14,21316681;81,48713764;44,52721211;156,5207065;11,13285687;16,37308405;24,35258122;35,29722912;31,3289874;76,16941174;46,06135179;0;23,74208372;74,48077012;28,56882709;0;7,891697726;0;3,081165762;61,3979973;25,73897087;7,273519102;79,18987457;26,33768481;21,55950855;57,48960263
Hiver;BF2;HBF23;3;2;B18;20,72627579;195,5373719;121,4418047;403,2320801;14,33358749;19,37294957;30,46156357;60,30696587;22,38360896;30,13784703;7,372200704;6,041873431;57,50322194;215,736621;56,13161547;0;10,49424963;0;0;30,04923584;25,09650594;11,61531761;0;16,09296166;0;0
Hiver;BF2;HBF24;4;3;B17;19,95695282;169,6579661;87,68024987;289,0724594;14,04474361;14,9392491;30,18545621;42,77834176;23,4910308;69,45802285;6,064178218;0;27,97256956;143,829451;49,31147639;0;6,364083583;0;4,47534797;38,78927293;35,60283607;16,96505488;18,06092794;7,692712981;0;40,3324203
Hiver;BF2;HBF25;5;4;B20;24,17144128;127,1595992;75,24447644;274,0341272;12,37782094;13,717117;28,91561846;69,37807003;19,42987762;38,42596185;0;9,028719616;11,37737427;202,0301202;29,01125424;0;2,226974875;0;4,789072524;0;35,66842901;14,90324668;14,2669696;0;0;38,04578146
Hiver;BF2;HBF26;6;5;B10;5,69646912;132,8070531;148,7440112;447,7892017;10,63883921;13,86224787;31,24841345;65,75955782;16,924669;33,45847446;4,158509574;6,214504259;531,827985;1015,282365;87,40129289;0;16,33337223;0;0;33,94202279;30,29479588;18,13754812;13,00605608;0;0;0
Hiver;BF2;HBF27;7;6;B02;4,328710444;91,82879085;24,7503445;77,53169772;6,819638802;8,29047607;25,86132757;41,97685002;0;13,14861905;0;0;3,621061786;36,62081292;18,18336091;137,9478133;59,87904341;127,2697703;31,29406704;0;18,30970553;34,36295655;5,487406142;8,678985589;0;12,55631913
Hiver;BF2;HBF28;8;7;B01;12,40729443;71,41407225;48,87359514;165,6121125;10,43239016;22,04915822;23,94203662;36,03718242;13,74531523;56,85482053;0;0;8,796605892;59,95341059;26,68867079;0;25,95907518;52,29367977;21,81193907;0;32,82856648;20,82771313;118,8184686;23,87287169;25,81182961;43,50729269
Hiver;BF2;HBF29;9;9;B05;13,14056717;75,89842883;56,01946071;198,1766145;8,258934542;10,51332446;17,36961861;37,15168224;16,63838665;24,12979204;0;8,637368553;11,09775409;208,8280772;26,25071488;38,70637887;40,49390629;0;21,86283679;27,38487948;24,91266286;12,11567886;39,20323592;0;9,236247533;0
Hiver;BF2;HBF210;10;10;B06;13,45358045;65,70971744;46,19435774;156,666015;8,366210297;13,89101419;27,07776572;35,74556917;56,732644;89,47137998;76,78031591;104,2950045;9,650078972;70,36817313;31,29160582;42,15034282;35,67598726;0;9,885464307;20,2606683;33,68205834;12,26279886;89,33028663;39,91334848;22,96319314;95,3372796
