Saison;periode;labels;indice;FID;COMMENT;B;T;E;X;7_ane;8_ane;9_ane;10_ane;13_ane;14_ane;15_ane;16_ane;1_M_2_PA;BTM;AcAcBE;Carene;Pinene;Thujone;1_6ol_2_E;FormicAcid;aceticacid;NonanoicAc;DecanoicAc;Octanal;Nonanal;Decanal
hiver;CA1;HCA11;1;0;B19;68,6787933;253,0033379;161,3596914;691,0398428;29,16131695;52,77314122;119,3461443;134,0757741;177,5074875;459,3347402;0;638,080994;180,7580958;433,4898805;170,8137204;0;0;25,93134034;0;376,6482182;187,3164417;0;493,6062788;75,57305816;191,8575874;0
hiver;CA1;HCA12;2;1;B21;35,86485336;185,8373349;103,6078814;450,0411303;23,62861519;47,42772147;123,5140203;149,3612528;149,5073219;497,8399064;333,8657539;520,806491;131,1923873;293,4561308;93,87351851;0;0;0;76,80581332;221,5184432;131,1465949;363,6711475;708,1146731;91,15331278;140,4825645;0
hiver;CA1;HCA13;3;2;B18;52,14073871;184,0912478;170,5266183;727,1282005;20,74929419;43,5060225;71,62444218;198,2300332;350,5507263;747,3827129;0;0;234,7391391;556,6979445;189,4276114;0;0;0;94,324495;555,6911428;2295,825349;335,4469888;0;14,4130078;0;0
hiver;CA1;HCA14;4;3;B17;33,77421527;327,105764;206,3674188;861,4778315;24,55017695;60,84078733;79,36330008;182,7451177;135,8428279;300,1830469;0;611,3189266;203,4463784;396,3204921;0;0;0;0;85,54040533;834,6181864;5624,216162;294,1278533;271,3516967;38,98569829;0;253,040982
hiver;CA1;HCA15;5;4;B20;0;219,4168586;170,5420077;723,6770234;5,350433254;69,60970986;117,2647577;106,326278;43,30713165;67,01470807;0;0;91,48567021;416,6500612;100,8894112;0;0;8,405159681;116,9360046;267,7345626;197,9144726;185,950262;80,87441684;33,89106186;112,8869146;346,5945139
hiver;CA1;HCA16;6;9;B05;43,0990036;211,7323575;146,5952366;629,5087905;31,58662473;61,37148656;93,89079382;148,678937;41,36428114;149,6815896;274,626751;437,6258153;144,5037784;314,4967455;120,1153027;0;0;33,30343841;110,4050693;205,4197074;210,4028808;59,35084445;87,45914694;18,01391804;0;167,2957418
hiver;CA1;HCA17;7;10;B06;38,77334505;146,9381846;127,8579079;511,8061999;17,35289814;40,15536239;45,93747789;122,4488378;175,6699565;241,6659778;0;425,4522618;93,51245011;231,2703352;134,2549274;0;0;69,09949496;87,58937482;1360,139455;2746,691965;0;82,20622685;13,63808418;0;0
hiver;CA1;HCA18;8;11;B07;39,44920079;157,8063766;135,1340678;518,378912;22,85490206;43,54242258;72,72063135;98,57086732;131,4954768;534,9607724;312,6709877;639,7725549;56,4700448;228,083931;90,27032236;0;0;16,76473899;78,9360978;190,7312518;128,6792246;280,2153332;273,2663529;53,28365898;115,9877129;483,8871085
hiver;CA1;HCA19;9;12;B03;49,37204058;235,3076202;194,8656863;789,9853142;29,30597343;51,51331014;87,48080558;189,2131655;134,0594157;425,0486347;429,0557809;569,8860145;117,0789623;347,20216;133,0903769;0;0;10,15553061;112,3416557;351,6708311;184,593733;353,6303199;500,535071;62,63492211;157,8101231;650,043275
hiver;CA1;HCA110;10;13;B08;38,91000368;215,3708225;197,4459738;761,2304459;27,13987813;48,06901131;76,63887143;118,0826411;139,5981912;546,4458999;535,1231938;0;139,0337615;291,5194697;129,4585221;0;0;0;93,02072344;222,5110824;130,836201;263,9910935;259,1453802;42,84459564;0;429,7516532
hiver;CA1;HCA111;11;14;B13;38,66407428;197,1434675;138,0604771;575,1109098;27,63928584;38,41172295;51,08031116;61,20682466;154,4565801;908,6911101;661,9709899;0;96,00628832;205,9382793;87,84587172;0;0;14,38434063;238,9464101;332,8429313;185,0011349;102,5251035;0;30,21502933;76,09201947;381,2319715
hiver;CA1;HCA112;12;15;B14;34,62289527;195,4571748;195,3024199;736,1732406;26,223127;46,63105443;59,86804957;114,6665664;99,99279057;329,8032405;334,1183742;439,9461192;104,4414932;285,2948464;105,3760367;0;0;0;77,93286761;197,389013;109,6544578;242,9604548;184,2511877;39,2651819;95,65389778;372,206898
hiver;CA1;HCA113;13;16;B15;33,3552835;433,522302;431,9976333;1359,024101;46,61792183;64,34449383;69,27376753;101,5050128;152,4337781;438,6975958;213,5317275;0;178,9868145;438,2010187;187,4969283;0;0;0;113,2386242;180,8067206;92,79374424;267,2159379;206,3237573;35,87710538;0;344,0483867
hiver;CA1;HCA114;14;17;B04;50,65642043;234,9238893;148,6958193;591,620027;24,17401965;33,26334911;49,32019139;70,94319743;0;108,1615019;0;0;214,088;299,5914818;151,6833765;0;0;0;90,84489685;588,4947672;2437,019999;111,2311629;51,8777478;0;0;0
hiver;CA1;HCA115;15;18;B09;34,80264636;197,8778224;174,0059818;783,7586242;27,21162586;58,69568829;110,7143396;221,5277176;61,19311223;0;209,7332034;0;333,4595332;513,7706295;198,9500891;0;0;0;209,5091615;190,4402225;243,3310231;89,03892879;60,08446765;29,87078024;116,1825878;286,0064299
hiver;CA1;HCA116;16;19;B16;39,90550385;146,3708184;116,565593;457,7537203;17,4002071;35,6983506;64,62465256;157,2645953;65,97900868;121,6531729;0;0;72,85604623;267,6512733;82,42226225;0;0;0;134,2704428;241,4073435;145,7313651;147,9786793;47,99269377;12,35908576;0;325,0403242
hiver;CA1;HCA117;17;23;B10b;44,09474932;613,8331395;1345,466388;3161,133662;28,31898359;50,0057405;201,5906582;0;167,5636035;560,2063325;0;761,2938872;3301,12886;6472,325945;2385,731076;0;0;0;0;478,4223883;527,917139;288,1464635;555,9415321;0;0;349,2969706
hiver;CA1;HCA118;18;32;A02;34,67890003;162,5824651;136,8011278;531,8026285;23,19599781;48,20279194;89,86680751;154,9332839;97,27483213;355,7910728;250,697004;334,7955019;548,4713804;233,3219905;97,92234918;48,23888799;21,75675597;153,9208068;183,7048948;252,4240466;276,109944;377,0091595;339,4331183;0;0;0
hiver;CA1;HCA119;19;33;A01;35,97292068;183,7898553;138,550851;596,3226327;25,84071583;62,89409084;113,4248976;111,8065416;83,71544806;373,2536024;0;0;131,8255405;264,2520706;95,30727743;26,64667324;17,09780108;89,64805996;113,6386038;326,8831443;257,5672539;155,2483962;186,8560761;56,66000098;82,31956218;0
hiver;CA1;HCA120;20;34;B12;50,38396813;210,6342293;164,2704572;634,471771;23,10327592;52,31105067;68,1708462;114,5721933;215,700613;427,4740893;527,752362;475,0915001;111,3014522;366,3048943;145,5845855;0;0;32,97373979;0;353,6744823;173,7539875;424,8767329;353,0321633;46,54513682;182,5690922;619,6825877
hiver;CA1;HCA121;21;;A22;33,19256467;169,8433096;135,7958037;522,2266675;23,39624674;29,85636928;46,06911496;113,6629841;233,9376774;0;0;0;252,9758398;341,138982;0;0;;0;104,7703761;1075,3577;3144,265913;0;0;18,31758179;0;0
été;CA2;ECA222;22;0;B19;138,2723247;232,196729;244,0657932;1064,387037;0;77,52824401;182,2930715;456,7979528;3472,519987;4676,840299;781,3707506;1723,50467;468,9266173;577,1855219;344,7382853;150,1842082;58,14592427;0;0;933,88379;333,3901345;664,5026555;698,7563811;246,8939424;430,1260173;1814,415195
été;CA2;ECA223;23;1;B21;103,3213995;225,7548191;216,6108111;991,1388936;46,01872627;74,89488012;158,7983259;594,8850443;3020,079815;5412,412787;590,6913233;1503,796624;423,1993291;526,4587124;275,2093936;0;102,3364123;0;0;938,145667;351,7651815;753,3046553;0;260,5727101;506,2397541;1856,53103
été;CA2;ECA224;24;2;B18;98,66033137;382,2255056;549,5642664;2494,71356;0;128,826688;263,1345027;1128,60383;5176,410455;10996,74228;1400,104967;4369,532885;1552,793746;1743,424238;834,406613;0;0;0;197,1355426;697,5015554;383,6757023;0;0;263,487041;724,7651749;776,6864621
été;CA2;ECA225;25;3;B17;138,8106422;537,089168;634,9433023;3081,272761;0;134,9572824;251,029048;746,8375023;4573,35369;8212,341946;1362,277662;3196,113922;834,1534559;1087,964174;657,4021582;0;109,6878304;0;0;804,8475102;355,6859291;0;0;192,8594217;533,198197;780,4178717
été;CA2;ECA226;26;4;B20;119,9177585;572,0071723;470,1778634;2291,176623;0;154,5415673;293,3440444;754,8399733;4036,518779;7339,801498;1060,636535;2058,89331;380,768186;892,9753672;277,3732397;0;58,45674665;0;0;770,0566286;450,4044828;0;0;192,2425361;497,1841627;737,0032164
été;CA2;ECA227;27;9;B05;114,8390619;298,3585909;354,7286635;1642,407282;58,74508934;101,6936937;208,4484946;628,4333852;3560,191881;7838,498414;2040,930185;2179,129265;584,1322215;816,5374081;525,3077854;234,7139244;193,3882073;62,86856851;0;849,5752695;478,212847;520,1718813;732,0210057;187,807813;0;556,4512072
été;CA2;ECA228;28;10;B06;92,56962252;199,9384134;231,7302646;1043,875063;50,8525879;66,38116558;132,8936262;371,0862792;3956,901559;5660,057026;2668,42918;1808,092217;430,5279516;446,2632224;345,6221178;190,2172721;241,2058944;86,3612894;0;1109,648315;639,4184726;559,8871212;882,8216075;259,2440497;0;1656,135718
